x,y,Details
0.62546,1.04072,C
1.91781,1.78357,D
1.03111,3.82195,
0.19268,1.23141,
3.09495,6.5555,
0.64218,0.65313,
3.62469,0.59194,
2.42311,1.01601,
0.28708,6.7777,
2.08017,2.46265,
0.87842,1.04163,
0.03303,2.59448,
1.17422,1.58451,
0.78584,2.0107,
1.92,1.98458,
5.5735,3.23607
5.4222,2.04771
3.11422,1.10176
0.69002,2.08389
0.13097,1.79641
0.49555,5.27424
1.18513,2.2472
0.69448,0.35854
0.00523,1.40164
0.89848,2.74901
2.70357,3.32042
3.8999,2.30525
0.79521,1.80863
2.21115,1.38802
2.16918,0.57734
0.29118,4.46386
5.30994,1.2873
4.20895,5.23857
0.26402,2.87402
0.09581,4.57208
2.64815,1.72915
1.27636,0.09051
0.50546,4.1118
3.24665,0.48911
0.71989,6.9999
0.70851,4.70643
0.99355,1.5622
3.23583,5.45702
0.3713,2.9864
1.10369,2.10881
1.43485,0.72625
0.93735,3.63034
0.09214,0.79987
1.18969,7.01735
2.73135,2.43792
